125

2 2
21 11
9 4 16
17 6 -28
4 5 11
11 16 5
10 3 -29
12 3 17
9 8 13
4 10 12
14 13 8
6 11 -20
19 8 -10

11 21
9 10 3
0 1 23
0 5 -12
1 10 -15
7 3 -24
8 10 20
9 7 25
7 6 4
8 4 -27
10 7 0
4 10 3
9 3 -29
9 5 20
0 7 -19
3 1 20
6 7 22
7 9 11
10 6 -15
4 0 8
4 5 7
3 0 -12

18 26
1 8 -5
9 4 14
1 17 -31
12 6 8
4 13 -27
4 16 -28
10 16 -11
8 11 5
11 9 6
8 2 24
12 10 -26
12 14 -22
11 17 17
2 0 20
13 5 -1
1 12 25
5 12 5
15 5 -31
17 5 -29
12 0 30
9 8 -25
8 12 21
17 1 -17
17 13 -4
13 16 -11
14 8 -11

9 4
4 3 1
3 6 30
1 8 -19
8 5 -19

16 18
6 1 9
14 13 -4
1 6 2
3 4 10
3 11 12
3 1 -28
7 8 -5
12 5 27
4 2 -4
9 2 16
2 10 16
10 5 0
12 14 -17
3 15 14
9 10 -19
8 5 -9
3 12 -9
7 12 -25

8 26
6 4 -15
7 6 17
0 7 -15
3 0 -10
2 6 -14
1 6 -23
5 7 7
6 2 8
7 3 3
2 0 2
0 5 -18
4 3 17
7 5 11
3 5 6
6 1 -14
5 6 1
2 4 4
7 2 -2
5 4 6
1 4 -9
5 0 -21
1 2 8
1 3 -13
1 0 -30
0 6 15
5 3 11

16 16
7 0 0
12 1 -3
8 5 -17
15 6 -23
0 4 16
10 11 -23
12 8 4
4 11 9
9 11 -25
4 6 26
9 12 19
12 9 27
7 1 -10
14 15 7
2 1 7
3 13 -28

22 16
10 8 21
16 19 -9
19 20 -6
19 11 8
1 9 19
0 5 14
7 13 5
15 17 -3
20 1 12
15 12 -1
13 10 31
2 10 10
7 3 -10
18 6 29
18 4 4
11 9 -9

24 20
5 17 -26
5 11 -31
5 10 -13
18 14 26
4 21 9
17 5 -4
20 8 2
13 18 -14
17 10 27
4 22 -7
4 1 -27
8 22 -12
5 4 21
10 22 27
8 14 -13
14 12 -6
16 12 28
5 16 -23
23 21 30
18 11 -1

26 21
14 16 5
17 14 1
3 16 23
1 16 30
1 10 30
17 7 9
8 17 -19
22 6 -13
12 10 31
24 5 1
9 3 -18
19 10 -22
12 20 -18
25 6 12
23 7 -18
23 21 23
0 11 13
1 25 -27
20 22 0
20 19 -3
1 19 15

21 4
11 13 -1
2 14 -24
14 2 8
3 5 22

4 6
2 3 27
0 2 -6
1 2 17
0 3 3
3 2 -2
0 1 -26

19 31
10 18 -28
6 4 5
7 2 30
11 0 -27
6 14 -10
6 18 19
18 16 19
10 0 3
15 0 -8
14 4 29
7 15 -13
4 15 -11
4 7 -18
18 11 -4
16 14 -1
5 4 23
3 9 12
5 12 30
1 18 5
2 11 -17
10 6 3
13 18 -19
9 6 2
12 13 -5
2 15 25
11 8 31
14 12 1
0 7 12
14 11 30
17 7 -13
11 17 -29

9 32
3 4 17
6 0 -29
5 7 -3
4 8 -31
3 5 17
5 6 15
0 3 -32
7 8 -30
7 0 -22
1 3 -16
4 6 11
2 7 12
6 4 -19
2 0 30
0 1 -1
1 7 14
5 8 9
7 1 -24
4 2 -9
1 6 2
7 3 -9
3 6 -29
0 4 -1
5 1 3
6 8 13
5 0 4
2 8 -6
8 3 -4
3 8 30
8 4 -12
8 1 16
6 1 -30

24 22
1 16 -22
14 5 12
18 16 -29
23 17 16
11 9 10
3 16 20
6 11 5
2 20 -20
14 19 21
9 5 2
5 3 -5
19 4 -31
19 6 22
3 22 21
3 9 15
3 5 -14
15 18 10
20 16 28
23 2 24
1 18 28
11 15 -3
23 13 0

22 14
11 18 22
0 1 -7
7 19 3
1 2 -19
15 12 23
5 0 3
10 2 -8
21 1 -31
8 11 -17
3 9 29
17 18 25
15 11 27
1 18 22
16 3 -14

11 15
1 2 28
1 7 -32
10 9 -27
3 4 -7
6 2 1
6 4 -17
2 10 -23
8 1 -11
9 5 28
0 7 27
7 1 -11
4 3 -1
9 10 -6
10 2 -16
6 3 -16

14 16
0 12 9
3 13 -25
9 13 3
6 11 -1
7 5 -23
11 6 15
8 3 -5
6 7 -11
12 11 24
1 3 3
12 10 3
0 2 -15
12 3 -7
2 9 31
9 8 2
8 0 -1

6 11
2 0 -7
3 2 6
1 3 -27
4 1 20
3 5 -24
3 0 10
2 5 -14
1 4 8
5 1 -20
0 4 6
4 3 13

33 22
4 22 2
32 26 2
24 20 -24
19 16 -19
31 19 25
28 7 -32
17 27 7
25 3 1
5 27 11
5 4 -6
11 30 -5
16 30 -22
22 12 12
10 17 -20
12 27 -21
7 2 -16
31 13 31
4 2 -13
10 8 -10
16 17 10
15 26 -16
27 17 -25

28 15
14 18 14
9 20 30
13 27 26
0 12 9
24 6 29
22 21 4
7 4 0
26 5 -31
15 7 -18
4 13 -29
23 3 -32
15 9 29
22 16 -21
19 11 3
8 10 22

29 14
28 16 -28
19 7 12
25 27 -12
12 9 17
24 17 30
2 16 -32
28 22 21
16 8 10
18 7 -27
12 0 -23
21 0 11
2 4 -1
7 18 9
27 1 -8

18 5
14 16 -16
11 3 -20
5 15 -31
6 3 -9
9 1 9

30 26
2 23 -23
5 23 -20
2 13 -23
12 18 14
17 6 13
12 1 -29
9 1 9
18 9 -26
6 12 19
17 3 31
13 19 0
0 25 -25
11 10 7
19 23 24
21 20 2
29 10 0
22 20 -14
17 1 1
24 16 25
23 18 11
8 5 -13
11 17 -24
10 2 -8
17 25 28
23 10 -27
14 10 18

17 6
10 3 -13
12 10 -2
0 14 31
16 13 30
13 14 -27
13 15 28

8 9
2 4 12
1 5 23
4 1 26
3 5 11
6 5 12
5 1 6
6 3 31
7 4 4
0 1 10

9 2
8 2 6
1 5 29

15 16
1 5 5
14 7 -21
9 4 -20
14 2 23
10 14 26
11 8 5
4 13 20
12 5 -28
10 5 19
6 12 -23
3 12 26
3 7 -1
5 11 -29
10 13 10
7 3 4
12 10 -2

13 24
11 6 6
8 3 20
7 3 -14
4 5 29
10 9 -30
10 1 1
7 4 2
6 9 -27
12 4 12
0 10 30
11 8 -30
8 5 12
9 7 7
2 9 -32
3 1 17
3 5 27
6 1 15
9 4 2
6 4 -26
10 4 1
6 5 19
5 10 26
11 12 -11
3 7 -15

21 18
20 2 -31
17 20 -6
16 18 -16
3 1 -32
1 14 19
11 12 -17
14 3 7
5 16 5
18 2 -5
20 12 -19
2 13 21
10 6 -18
7 12 -32
0 16 -32
2 12 -4
7 6 27
11 4 13
18 10 30

19 25
9 0 9
16 14 14
12 1 30
5 16 13
18 3 -32
1 12 2
18 13 -16
2 15 4
5 11 -23
0 18 23
2 9 -28
5 7 -17
5 1 -12
2 3 -3
17 1 -7
2 0 30
4 7 26
10 1 -30
16 12 29
5 2 8
8 14 18
6 0 9
18 1 -14
6 4 30
11 10 -4

4 2
3 0 3
0 3 25

17 9
14 1 -11
0 13 16
8 0 31
0 1 -10
9 10 1
15 16 -22
16 14 5
13 14 28
14 12 -17

28 4
6 21 25
27 4 -5
0 26 -3
0 13 -15

18 7
5 15 5
12 11 0
16 12 5
2 4 -19
5 2 -27
13 1 -11
11 1 -19

18 12
2 3 6
1 4 26
11 16 -19
15 14 16
5 0 -14
17 0 -11
16 10 -20
13 3 12
0 16 29
6 11 2
4 3 30
16 8 30

6 14
0 2 21
0 5 -1
1 3 -19
2 4 27
2 3 1
1 2 -15
5 1 -6
4 2 -21
5 2 5
0 4 9
1 5 -22
1 4 18
3 2 -24
0 3 10

17 21
0 2 11
9 6 -32
10 0 13
9 3 -2
6 5 -24
0 7 -4
0 5 27
12 1 31
12 13 -14
2 13 25
9 15 -4
15 0 -8
3 0 20
9 14 -27
9 2 4
15 13 15
8 10 31
0 15 -23
11 15 -2
15 7 25
2 0 2

8 22
1 7 30
2 3 -8
2 7 11
4 2 -13
1 0 -29
4 3 -7
3 6 25
3 5 -3
2 5 -28
7 4 -24
3 4 -20
0 4 -6
4 6 14
3 0 13
4 7 -7
5 1 10
6 3 -12
1 2 31
4 0 -8
7 6 -32
0 1 16
5 6 3

33 1
15 8 -18

25 26
5 11 -28
14 13 -14
21 10 8
6 13 -32
20 2 20
8 11 30
9 18 -32
6 7 -2
23 11 -11
16 12 8
10 13 22
14 18 -14
21 11 18
22 6 15
1 8 -27
6 8 27
9 4 -19
0 1 -22
9 12 5
12 23 -13
18 10 -8
9 17 4
19 11 -28
6 2 -26
15 16 -3
18 17 8

16 8
15 14 -28
1 12 -25
14 11 -4
3 7 9
6 3 -5
11 7 13
5 3 -21
1 8 -14

14 20
6 7 3
11 6 -24
12 8 11
3 0 17
12 6 1
0 1 -14
8 12 -13
2 13 -29
12 2 -11
4 3 -20
0 2 -6
4 8 -15
6 0 27
10 3 -6
4 12 -18
1 0 4
9 12 -4
2 12 -26
1 5 13
13 6 -23

33 27
25 9 -26
23 29 -25
26 16 18
1 27 -9
18 14 -15
14 26 -28
25 27 5
9 19 13
7 32 10
22 31 20
30 13 -31
13 31 -12
11 29 -23
29 25 -5
30 21 -27
19 6 28
28 26 27
17 15 13
27 14 6
4 21 0
7 27 -32
13 22 -15
23 18 -17
17 27 5
25 6 16
21 20 29
8 31 -10

30 28
25 27 8
17 20 10
6 18 3
14 20 3
9 10 -19
3 25 -1
2 0 -10
1 17 9
13 18 -19
18 22 -9
15 24 -1
18 21 -3
16 27 3
16 11 15
13 10 26
11 15 -31
29 17 -2
19 17 24
17 26 25
4 5 -2
25 20 29
8 11 19
29 3 -15
12 24 12
7 14 22
28 10 -2
3 8 13
27 28 -6

24 25
4 18 -11
17 18 -3
0 22 -14
8 0 13
11 6 -3
23 2 28
20 23 28
20 18 7
4 16 1
15 13 6
0 7 21
18 8 22
11 21 -29
7 10 -2
10 19 3
10 23 11
20 14 10
0 3 15
5 0 -22
0 15 -2
1 3 -28
11 0 -10
9 21 18
21 19 28
22 9 30

23 23
17 19 -14
21 18 -23
1 22 -2
19 15 22
15 14 9
0 12 -31
7 13 -30
20 1 2
4 14 9
7 2 -15
2 3 17
4 15 -8
18 19 -28
4 18 -7
20 11 -5
14 18 16
11 18 -1
2 13 -1
19 21 -29
7 17 12
6 2 -15
11 10 19
21 4 -21

11 5
1 4 31
3 4 10
0 4 -23
0 10 28
10 9 26

9 28
4 7 -6
0 8 31
5 1 -16
7 3 -24
0 1 22
5 0 -8
2 5 2
7 5 30
0 2 11
3 0 -15
8 6 -18
3 4 -13
5 3 20
6 8 -2
1 6 -32
4 8 24
7 2 2
3 1 -27
0 7 -7
8 2 20
2 3 -26
7 6 25
0 3 1
6 1 28
7 4 -16
4 3 8
7 0 12
6 2 8

15 7
8 2 20
4 0 -28
13 3 20
7 10 -11
13 8 26
4 7 0
12 3 27

30 31
4 10 -31
9 17 9
22 27 -32
3 24 -23
15 10 0
10 1 -23
18 27 -18
25 8 -30
20 29 -18
26 19 -22
8 3 -21
3 21 15
11 28 28
17 22 -30
8 26 -26
17 19 -24
2 25 -3
13 20 25
26 13 -32
6 0 8
27 9 8
18 6 0
12 27 -19
25 21 -29
28 19 10
26 11 16
14 22 9
27 12 23
23 16 5
1 4 -27
24 6 15

21 9
1 17 -13
16 18 24
8 9 0
8 10 -27
3 4 -22
0 12 -24
18 20 -15
9 11 -26
1 8 -26

26 21
21 25 0
17 19 8
10 24 20
9 3 -4
23 16 -26
8 9 22
0 2 21
9 0 -27
9 6 -11
21 3 -13
12 7 31
11 6 -4
3 10 18
2 4 3
25 8 10
0 1 3
10 25 -22
2 11 -23
20 16 13
16 14 26
23 15 -32

24 9
11 15 23
10 13 -28
22 15 20
5 4 -3
10 11 15
6 18 -6
11 13 3
10 20 -15
22 9 5

31 10
29 9 7
5 12 31
13 22 -15
22 13 17
2 19 16
18 17 -2
16 6 -20
7 14 -15
18 6 -23
17 21 -29

13 25
9 4 -32
0 11 5
10 1 29
11 6 10
6 4 0
5 11 -20
12 6 -14
2 5 -7
8 0 -1
5 8 31
11 3 26
4 11 -8
9 10 -1
5 4 12
4 6 17
8 6 -24
9 3 -19
9 2 -1
1 9 -25
4 5 -3
3 0 -29
3 8 16
8 9 2
1 3 31
8 12 10

31 25
15 18 3
22 28 -3
0 23 -19
30 25 20
12 28 -21
4 0 -5
26 13 8
14 5 1
5 28 -31
17 29 19
10 20 6
4 2 -2
10 11 -9
19 23 16
4 17 30
9 18 19
19 14 -5
17 5 -21
28 25 24
7 1 13
10 18 -14
4 29 5
11 9 -17
27 18 22
7 16 -15

15 32
12 10 -17
0 4 25
0 8 -7
11 14 -5
1 10 25
9 13 -19
1 3 18
14 7 -14
2 9 9
5 6 -30
2 6 7
12 7 -3
8 11 31
14 0 -32
14 8 -21
11 6 -15
1 14 -26
6 13 -20
6 8 -8
8 10 -26
3 8 -30
0 9 13
9 0 -12
7 5 -14
1 8 -15
5 14 29
13 6 -22
1 12 11
11 10 20
2 13 15
5 8 -12
1 2 -9

4 7
3 0 -14
3 2 -22
0 1 8
1 3 18
2 0 21
2 1 -9
0 3 -28

16 28
1 5 18
4 14 -22
15 7 -8
15 5 -3
9 13 -14
2 3 4
15 12 -30
2 4 31
13 3 27
2 0 29
3 14 -8
5 10 -12
7 1 -18
11 5 4
1 12 -12
3 4 -26
1 9 -26
0 12 22
8 12 -24
2 6 20
9 3 2
13 15 10
13 14 -9
11 9 -19
10 12 8
11 2 -25
11 13 -16
12 2 -9

19 27
3 1 -1
5 16 -5
13 4 10
15 16 11
11 18 18
10 14 -6
13 8 -31
12 9 -25
17 12 -15
4 0 30
16 18 -28
15 9 -17
1 7 16
1 9 -27
3 15 21
6 12 3
11 13 7
5 13 15
0 17 9
11 2 -28
8 11 20
12 8 17
18 5 -7
2 4 18
14 18 24
13 6 -31
17 0 6

9 24
3 0 24
5 8 -6
3 5 -25
3 1 -11
1 2 -10
5 7 -16
8 3 -7
2 8 -11
1 3 -14
0 6 -19
5 3 -11
1 7 18
3 2 20
8 6 -8
2 5 10
8 4 -6
3 6 16
0 4 11
0 7 21
7 3 10
7 6 19
7 0 -3
7 8 -25
6 1 -30

14 28
4 12 16
5 11 -26
9 8 -18
8 10 -15
2 5 20
0 7 -28
4 5 5
13 1 -3
8 9 -23
7 11 7
7 5 -14
3 8 20
4 8 21
12 5 23
9 6 -29
13 5 7
9 2 30
13 12 0
0 1 11
9 7 -4
3 11 10
2 13 -14
10 11 31
6 7 20
10 1 29
13 9 6
4 0 -21
7 13 -32

26 25
11 5 -19
6 5 -27
20 14 22
16 6 -3
22 10 -22
4 15 -10
5 17 -12
14 4 23
12 2 24
12 20 11
11 8 30
25 1 21
16 24 -18
14 22 11
1 22 -4
13 16 -19
19 25 17
0 7 -23
7 11 4
10 9 18
18 2 -32
1 9 14
0 3 -31
20 13 -19
20 15 9

25 27
10 0 26
21 19 17
2 6 19
22 2 -23
14 19 3
5 15 4
17 19 22
22 15 -15
16 8 -7
24 14 -5
6 1 4
11 5 -7
1 3 -13
0 8 16
11 1 -19
19 5 12
7 23 5
20 4 -24
6 2 11
11 8 -15
5 7 24
15 7 -3
16 3 16
3 10 -30
21 10 22
7 18 -24
20 15 22

28 2
24 10 -11
21 9 26

29 5
5 0 -23
3 12 2
4 12 12
21 23 24
5 19 -3

12 22
11 7 -23
7 4 -1
9 8 -7
11 10 25
8 5 -28
10 0 -18
3 1 10
7 6 18
0 6 13
5 11 -17
0 2 -15
10 3 8
4 7 26
7 11 -32
2 6 -32
3 7 -19
4 1 -27
3 4 13
8 7 -20
7 1 -25
5 10 -29
3 5 -10

17 6
15 0 -30
1 12 26
0 6 6
11 6 -23
0 4 28
8 15 -22

11 17
7 0 -22
5 3 2
10 0 -9
1 9 29
0 9 25
9 4 -16
7 10 -6
4 9 16
1 4 5
5 4 -21
4 2 26
10 4 23
9 6 -19
6 1 3
5 6 -3
7 2 -8
3 7 -21

15 28
6 11 -4
13 0 -26
14 3 10
9 14 21
14 5 18
13 12 16
12 10 -20
13 9 -17
7 3 25
14 6 -32
13 7 29
6 12 -20
1 8 24
2 8 -30
5 1 -27
11 8 29
1 9 -10
7 1 16
4 5 15
9 3 15
9 5 -15
4 8 5
8 7 3
5 2 4
5 7 -28
14 7 -16
14 13 -25
13 5 1

32 5
22 12 6
25 5 -5
15 1 12
11 19 31
28 24 13

15 9
10 13 22
1 8 5
7 9 -30
8 9 30
6 8 -22
0 6 8
13 0 -31
5 4 -10
2 0 -27

2 2
0 1 -5
1 0 5

15 32
12 10 -17
2 11 -4
5 11 -16
9 6 10
4 5 17
13 4 -21
3 8 25
14 7 -28
14 4 -26
8 1 8
11 5 -20
3 6 28
13 8 8
1 4 9
7 9 7
5 1 -28
13 5 1
4 1 -22
5 2 28
2 7 -3
13 14 26
1 6 -4
5 3 -17
3 14 23
11 13 -25
11 2 21
8 5 -18
10 6 22
2 4 2
6 10 15
6 3 -31
3 2 -27

25 20
18 11 -25
21 6 7
7 21 -6
11 6 -3
17 8 -9
19 3 -30
14 2 29
18 24 20
1 13 -6
18 22 -1
12 6 -21
14 3 11
20 10 -3
8 20 -13
24 13 21
0 2 -26
24 23 -32
1 17 20
20 24 -27
1 7 9

29 25
24 11 30
21 17 -27
18 17 -20
17 13 -28
16 22 4
21 11 22
25 5 -1
24 18 28
4 19 -29
23 17 -28
21 4 -28
26 1 10
24 13 -10
19 8 -21
10 15 -31
16 18 23
10 23 -25
26 8 -1
12 6 2
22 18 11
27 12 -8
2 0 -31
4 28 -2
28 3 17
23 26 -2

41 57
36 18 21
3 20 -20
26 11 19
12 40 -26
2 22 0
31 32 14
14 39 -4
1 28 26
19 39 28
36 22 -9
39 21 7
38 13 28
28 1 -4
17 20 3
9 31 29
28 12 -15
11 6 14
0 6 -24
20 39 10
12 19 31
21 1 -21
1 39 21
26 12 23
39 13 14
32 9 -17
34 3 -26
36 7 27
28 17 -2
40 8 -24
5 30 -12
12 32 -32
9 34 -5
16 26 9
14 10 31
32 10 23
34 19 28
15 35 -27
40 23 -13
30 12 -24
27 0 11
7 2 -13
23 22 -23
26 14 23
3 21 9
27 21 -21
31 27 28
22 20 26
13 8 -27
26 21 -1
27 36 10
8 23 16
1 37 9
25 33 29
28 8 8
24 28 -26
3 28 5
31 30 20

46 9
34 19 10
7 4 -30
42 40 2
17 27 20
39 42 11
8 39 16
36 45 -30
10 7 -15
12 39 23

29 72
21 25 26
28 13 -14
7 17 15
4 18 18
2 12 -12
12 14 -28
16 5 -25
6 19 -5
19 27 -13
13 10 6
23 12 30
6 28 19
13 0 19
28 17 -16
17 7 9
17 23 -31
24 7 -12
6 1 12
20 21 4
1 26 4
3 4 -17
3 26 -15
7 22 19
25 13 11
8 5 -6
5 25 -19
4 6 -31
8 17 9
25 12 23
0 13 22
7 20 -3
4 22 19
24 17 6
23 0 29
3 19 14
10 12 -25
19 28 -25
27 20 23
19 22 -3
19 4 17
28 19 -4
24 27 16
24 3 -16
13 20 -5
10 8 8
5 0 20
25 16 -6
6 17 -31
4 26 -16
2 20 -24
20 18 -10
5 4 7
4 7 -31
2 10 0
15 20 28
15 13 0
7 19 14
5 1 22
17 18 29
1 14 31
25 19 1
12 11 25
3 27 15
5 2 17
20 3 5
8 9 5
25 2 30
8 21 -28
18 25 12
15 23 12
14 10 -14
26 11 -25

51 52
49 47 -17
41 35 26
20 49 1
33 10 26
29 46 -20
47 24 4
12 13 16
37 0 -23
33 35 17
12 23 -5
9 32 -12
15 16 12
33 18 -24
20 30 -12
39 6 23
0 25 -16
8 34 7
6 45 -25
30 40 31
24 19 4
48 32 -2
28 17 -30
32 16 -10
31 32 19
2 39 -6
47 34 -18
1 26 -32
20 25 -2
10 42 -28
43 12 -22
9 24 -32
17 40 -21
40 20 -30
44 36 -25
3 45 10
38 48 18
41 22 5
2 33 -5
4 11 22
31 22 -29
12 21 -24
18 31 16
22 21 -23
19 9 -31
4 9 -5
27 32 13
8 32 27
45 40 30
37 31 25
32 29 -19
30 28 17
0 23 -18

43 73
3 19 -1
37 38 -25
19 7 -19
12 13 -10
13 32 -5
22 40 -19
0 10 28
16 21 30
14 12 31
3 1 6
11 22 18
1 15 -5
9 14 4
12 31 -9
36 12 19
30 2 -13
20 36 -30
14 23 31
19 17 20
35 20 -20
3 36 27
23 7 27
17 30 25
13 37 -21
32 19 19
24 8 -3
4 16 3
27 42 -6
25 7 16
20 25 6
19 29 -14
39 32 -11
4 0 -8
20 8 3
29 40 -7
25 11 3
23 38 28
36 34 14
5 32 -28
11 25 23
20 15 1
2 33 29
15 24 16
39 40 13
20 11 -25
25 13 -19
34 22 22
2 37 -32
5 15 -16
25 0 13
18 40 29
30 6 -24
42 7 -9
21 16 15
40 4 -31
14 35 27
36 20 -8
31 18 17
1 41 -32
36 31 3
10 28 26
28 23 -7
33 17 2
0 4 17
4 36 -24
21 35 -32
34 23 -27
29 27 15
11 39 29
3 39 -6
12 36 -30
8 5 -19
35 4 -26

6 8
4 2 25
2 4 15
2 0 -15
2 1 -27
4 0 28
3 2 6
3 1 -13
5 1 -28

92 161
68 30 29
86 72 -27
74 14 28
14 18 5
79 18 -24
57 88 10
75 36 4
85 21 -29
40 61 12
45 35 17
53 67 12
62 15 -4
76 89 14
24 82 -32
1 7 -10
14 86 24
72 54 -32
41 65 19
43 2 -2
43 53 -28
90 67 4
13 23 -13
70 54 7
23 84 -13
31 43 -24
67 21 8
27 58 13
81 18 27
51 28 19
82 12 9
24 8 -22
9 47 -13
15 41 -22
59 82 -7
63 86 28
75 0 -3
44 75 -21
5 75 10
72 29 28
15 82 7
78 30 25
62 45 16
73 33 -5
84 56 14
78 37 -9
45 31 7
31 65 9
57 86 -22
11 43 -4
89 74 -25
62 70 -31
48 54 -6
57 74 -29
19 50 -19
55 90 15
89 60 -3
38 49 19
58 75 -30
72 28 -1
17 68 -6
89 22 23
72 56 -28
19 75 -8
41 56 -18
77 27 28
27 83 23
63 50 -16
35 61 -27
30 15 -16
24 33 -18
31 15 18
34 44 -1
44 12 18
80 91 -6
27 56 18
50 47 28
1 5 -9
75 18 15
3 29 18
91 80 31
62 43 23
13 90 25
24 40 -23
1 22 -25
38 42 -17
18 61 -12
39 22 15
78 38 -5
46 88 15
48 8 14
71 72 0
63 72 6
77 49 6
10 4 -11
12 49 -20
23 91 -32
31 18 6
16 28 -30
54 87 23
29 65 9
55 14 -6
47 66 -20
5 60 -1
19 68 26
21 91 -8
71 37 -13
34 33 -24
